Draw;g;r;pb;z
726;0.7;2.5;-0.1;-18.1
727;-1.8;1.8;1.1;-16.0
728;-3.8;2.9;-0.3;-4.7
729;0.0;2.4;0.5;1.3
730;0.3;3.1;-0.1;19.1
731;-2.3;3.2;0.4;14.3
732;0.1;2.3;1.7;-13.7
733;0.5;1.9;2.9;-3.8
734;-2.4;2.3;0.3;13.9
735;1.0;2.0;2.8;-9.5
736;1.8;2.3;2.0;-11.5
737;0.7;3.0;1.0;5.1
738;0.4;2.9;1.7;4.9
739;1.0;2.2;2.7;-9.6
740;0.8;2.1;1.9;-9.4
741;-0.6;2.0;3.5;-18.0
742;-2.2;2.7;2.8;-3.9
743;-1.5;2.8;-0.1;2.1
744;-1.5;2.5;0.5;-1.0
745;-1.3;3.2;-0.7;25.4
746;0.5;2.5;0.5;3.5
747;-2.7;1.8;1.8;-10.7
748;2.3;2.8;2.5;1.5
749;-1.9;2.6;4.0;4.5
750;2.3;2.7;1.3;2.2
751;-1.6;2.7;1.3;7.9
752;0.2;2.9;-0.4;14.1
753;-2.5;1.6;0.3;-15.4
754;-1.5;2.8;-0.6;6.3
755;-4.3;3.0;-0.3;6.8
756;-1.4;2.0;1.5;-15.8
757;-1.6;2.8;1.0;5.1
758;1.2;3.0;-0.5;7.9
759;1.3;2.4;-0.5;-8.4
760;-1.8;3.0;1.8;18.0
761;3.1;1.8;3.3;-18.3
762;3.3;3.1;1.5;2.8
763;1.2;2.8;1.3;-1.3
764;0.4;2.2;0.7;-18.5
765;1.7;2.2;2.4;-12.1
766;-3.8;2.2;-0.4;10.3
767;-1.9;3.1;0.2;5.2
768;-1.7;1.8;0.5;-16.4
769;-1.5;2.1;0.1;-9.1
770;-1.3;2.5;0.2;-7.2
771;-4.5;1.9;-0.4;-15.2
772;3.2;3.0;0.9;-0.5
773;-1.0;2.7;1.7;-4.7
774;1.9;2.8;1.0;-7.5
775;-0.7;3.3;0.4;11.7
776;-0.6;2.0;0.9;-11.3
777;0.5;2.7;0.9;-2.4
778;1.7;2.5;2.8;-8.7
779;-1.8;2.3;0.5;-1.5
780;3.4;2.7;1.6;-6.3
781;-2.4;2.3;1.4;-0.3
782;1.1;2.1;1.3;-9.5
783;-0.4;2.7;0.9;4.0
784;0.1;3.0;5.4;11.1
785;1.5;2.4;1.1;1.1
786;-0.5;2.3;1.9;1.1
787;4.2;3.2;2.4;10.7
788;-1.3;2.1;0.8;-11.3
789;1.8;3.2;1.5;0.8
790;-1.0;2.6;-0.3;3.4
791;-1.1;2.1;1.1;-7.2
792;-0.4;1.7;3.0;-24.6
793;3.5;2.8;1.6;-1.8
794;-1.6;2.7;2.9;-10.3
795;1.1;2.9;0.6;7.0
796;-3.6;2.6;2.1;4.7
797;-3.5;2.4;1.4;0.9
798;1.3;2.6;1.3;-7.7
799;3.3;2.7;1.8;0.4
800;-2.9;2.3;0.5;-4.9
801;-1.0;3.0;0.8;2.6
802;-0.5;2.4;1.7;1.2
803;0.8;3.0;1.5;8.8
804;0.3;2.1;1.5;-7.9
805;-2.1;2.0;0.7;-22.8
806;-1.4;2.6;1.0;3.6
807;-1.7;2.3;0.6;-1.6
808;-1.0;2.3;1.4;-13.8
809;2.6;2.1;1.2;-5.4
810;1.9;2.9;2.5;4.1
811;-0.5;3.3;-0.8;15.9
812;2.5;2.2;1.4;-14.1
813;-7.5;1.6;0.4;-13.6
814;-0.1;3.2;1.5;3.3
815;0.2;2.9;2.5;8.0
816;-1.8;2.3;1.3;-4.0
817;-0.2;3.0;-0.2;3.5
818;-2.2;1.9;0.1;-11.0
819;-3.8;2.3;2.1;-1.7
820;-1.4;2.5;0.2;-7.0
821;2.3;2.0;3.1;-15.0
822;-2.7;2.9;0.4;12.0
823;1.7;1.6;4.2;-17.8
824;-0.1;2.8;-1.0;1.8
825;1.3;2.8;0.1;1.1
826;-0.8;3.2;0.6;0.5
827;3.9;3.6;1.4;6.3
828;0.2;3.1;0.4;6.0
829;-5.2;3.1;-0.5;25.1
830;1.7;2.0;3.0;-5.8
831;2.3;2.5;0.3;-4.8
832;-1.4;2.9;-0.2;-5.4
833;0.6;2.2;0.3;-16.2
834;-0.6;2.1;-1.5;-10.8
835;1.4;3.0;2.1;1.5
836;2.0;2.4;1.6;-12.2
837;-2.3;2.3;1.2;-7.6
838;-2.0;1.9;-0.6;-14.6
839;3.2;3.3;0.6;7.6
840;0.5;3.0;-0.1;6.6
841;-2.9;1.7;-0.2;-9.3
842;-0.7;2.7;-2.0;-10.9
843;-2.0;2.9;2.9;2.6
844;1.5;2.4;0.8;-5.6
845;-7.1;2.2;0.6;6.1
846;-1.3;2.1;1.9;-18.1
847;-3.6;2.1;-0.3;-15.1
848;1.8;2.5;0.7;-3.6
849;1.8;2.8;1.7;5.6
850;-1.6;2.0;1.3;-14.6
851;-3.4;2.0;3.3;-19.9
852;2.8;2.5;1.9;-12.5
853;-0.4;3.1;0.1;7.4
854;-0.9;1.8;0.6;-7.7
855;2.6;3.0;2.4;2.7
856;-3.0;2.9;0.4;7.3
857;-1.3;2.8;0.0;2.2
858;-2.4;2.6;-0.9;18.4
859;-1.4;2.5;-0.6;-14.6
860;-1.3;2.2;1.6;-6.4
861;0.1;3.4;3.1;2.8
862;-1.5;2.9;0.9;4.3
863;2.1;2.8;2.0;-4.6
864;1.1;2.7;2.0;-2.6
865;0.2;1.6;2.3;-13.9
866;1.7;2.5;3.0;-16.5
867;-1.8;2.4;0.1;3.1
868;-2.6;2.5;-0.1;-0.4
869;-3.5;2.3;0.3;-13.1
870;0.2;2.7;-0.6;-7.4
871;-0.4;2.5;1.8;-9.0
872;5.7;2.9;0.5;-0.7
873;-1.0;2.5;-1.5;4.5
874;-1.9;2.1;1.5;-19.5
875;1.0;3.4;-1.1;9.8
876;-0.5;2.7;1.4;2.3
877;-1.1;2.9;-0.3;4.2
878;1.2;2.2;1.5;-14.6
879;-1.5;2.4;0.6;0.1
880;-1.3;2.6;2.5;0.9
881;-0.3;2.4;0.9;-2.4
882;1.2;2.4;2.3;-5.6
883;-2.5;2.5;-1.9;1.5
884;0.0;2.2;1.9;-11.1
885;-0.1;2.4;1.7;-6.3
886;1.7;3.6;-0.1;19.4
887;0.1;2.1;2.7;-12.9
888;-1.0;2.9;0.0;8.7
889;2.5;2.3;1.7;-11.8
890;-2.6;2.3;2.5;-4.2
891;0.6;2.7;0.4;-9.3
892;-2.8;1.5;0.3;-10.0
893;3.5;3.0;3.9;10.8
894;5.6;3.6;2.5;11.7
895;0.6;3.7;0.6;18.3
896;-2.2;2.5;0.4;-2.1
897;1.5;1.7;2.6;-21.9
898;-1.1;2.4;2.1;-13.2
899;1.9;2.1;2.5;-13.5
900;0.5;2.0;2.9;-20.5
901;0.8;2.4;-0.2;-16.5
902;-1.6;2.7;1.4;-1.5
903;-2.9;1.8;2.2;-8.2
904;-2.6;2.5;0.3;4.3
905;-0.5;2.7;0.2;-1.9
906;1.8;3.1;1.8;2.8
907;2.8;2.9;-0.7;-8.4
908;0.6;2.4;0.7;-19.9
909;-4.2;2.1;0.5;-2.1
910;-1.6;2.4;1.8;-2.1
911;0.0;2.7;1.0;2.8
912;-0.3;2.7;0.6;1.3
913;2.7;2.6;2.3;-18.1
914;0.3;3.2;1.7;-2.6
915;-1.5;1.6;2.8;-13.6
916;3.5;3.3;2.5;12.0
917;-1.4;2.1;0.0;-10.9
918;1.8;2.4;2.3;-7.5
919;3.0;2.5;2.7;2.4
920;-2.7;3.1;1.5;3.7
921;-1.0;1.7;1.6;-7.2
922;0.9;2.2;1.4;-7.3
923;-1.0;2.3;-0.4;-15.7
924;0.3;3.2;0.5;9.2
925;2.0;2.6;0.6;-1.1
926;-2.1;1.9;2.0;-8.5
927;-5.3;2.6;-0.1;16.7
928;-1.2;2.5;0.6;-7.5
929;-1.0;2.7;0.3;-5.0
930;0.7;2.2;1.0;-5.4
931;-0.3;2.6;1.0;-0.9
932;3.4;3.1;0.4;2.1
933;0.7;2.8;1.7;-15.2
934;0.6;3.0;2.2;4.1
935;1.7;2.0;3.2;-9.3
936;4.7;3.4;2.4;12.3
937;0.1;2.1;1.5;-5.7
938;-2.4;2.6;-0.2;2.3
939;0.0;2.4;1.3;-2.1
940;-0.9;2.1;1.2;-9.0
941;1.5;2.8;1.0;1.2
942;2.7;2.5;3.0;-7.9
943;1.2;2.9;-0.8;3.0
944;0.8;1.6;1.8;-21.9
945;1.4;2.5;-0.1;6.4
946;-2.5;2.6;1.6;-3.1
947;0.4;2.4;3.0;6.6
948;3.5;2.6;3.9;0.8
949;1.0;1.9;2.3;-18.3
950;0.4;2.8;-0.2;6.8
951;0.3;2.9;0.9;-1.2
952;0.9;2.9;1.5;0.2
953;-0.8;1.7;2.3;-10.3
954;3.3;2.5;3.4;-4.9
955;-5.0;1.9;1.2;-4.5
956;-0.2;2.5;2.0;-4.4
957;-1.4;2.1;0.6;-5.2
958;3.3;2.8;1.7;6.0
959;-3.3;2.1;-0.4;-10.5
960;1.1;2.4;1.3;-3.9
961;-1.1;2.8;2.1;-2.6
962;3.6;2.7;0.5;-4.1
963;1.8;2.1;1.9;3.5
964;2.5;2.2;1.0;-16.4
965;-1.0;2.1;2.5;-8.5
966;0.3;2.9;-0.3;16.7
967;-0.4;2.9;0.2;5.9
968;1.6;3.9;0.9;20.3
969;5.4;2.3;1.3;-9.0
970;3.3;1.7;4.0;-25.4
971;0.8;2.3;1.4;-16.0
972;-1.1;2.1;-0.2;-3.7
973;-2.5;2.6;0.5;2.7
974;-1.6;3.1;1.7;15.1
975;0.2;2.4;0.0;-1.7
976;-2.0;2.8;-1.2;4.9
977;3.2;2.6;0.4;-13.1
978;0.6;3.0;0.2;0.4
979;0.2;3.2;-0.2;-2.8
980;1.6;2.4;0.3;-3.5
981;1.5;2.4;3.8;-16.1
982;-2.9;2.6;1.0;2.5
983;-1.9;1.6;2.9;-22.1
984;4.2;3.1;1.8;3.9
985;1.8;2.7;3.2;-7.0
986;-0.1;2.7;1.0;6.0
987;-0.4;2.3;2.0;-4.7
988;-4.0;2.5;0.0;-4.9
989;-4.2;1.7;1.4;-8.1
990;4.4;2.7;1.4;-6.0
991;-1.4;3.4;-1.7;20.5
992;1.8;2.5;2.2;-11.1
993;-2.8;2.4;1.8;-3.7
994;-0.3;2.2;2.0;-1.8
995;1.0;1.8;2.4;-20.2
996;2.0;2.6;0.4;0.7
997;2.9;2.5;2.2;-12.0
998;0.7;2.2;2.7;-15.3
999;-1.5;2.4;1.1;-10.8
1000;-1.8;2.8;1.9;-3.7
1001;-0.5;2.5;0.3;-4.5
1002;-3.1;3.1;-0.1;8.1
1003;0.4;2.2;-0.3;-9.3
1004;0.7;2.6;2.8;-6.3
1005;0.0;3.0;2.0;5.3
1006;0.3;2.9;-0.2;-4.7
1007;0.4;2.0;1.1;-9.7
1008;1.3;3.0;0.3;8.2
1009;-1.4;2.3;2.3;-12.0
1010;-2.3;2.3;1.9;-6.9
1011;1.5;2.8;2.3;-3.2
1012;-2.1;2.5;1.4;3.9
1013;-4.1;2.4;0.9;-11.9
1014;-1.1;2.4;-0.1;-6.6
1015;-4.7;2.3;0.1;-1.1
1016;3.1;3.1;0.1;5.3
1017;1.2;2.9;2.8;5.1
1018;-2.8;2.4;0.3;3.5
1019;1.5;1.4;2.0;-29.6
1020;-1.8;2.1;1.2;0.9
1021;2.4;1.7;2.6;-22.1
1022;-4.2;3.0;-0.6;9.5
1023;2.3;3.3;0.3;10.8
1024;-5.1;2.7;2.0;-2.4
1025;-0.7;2.6;-0.3;7.8
1026;1.6;2.3;2.2;-8.7
1027;0.6;3.2;2.3;13.7
1028;-4.6;2.1;-0.3;12.6
1029;2.0;3.0;0.9;-3.5
1030;-2.0;1.9;2.1;-4.9
1031;1.9;2.6;2.4;-10.9
1032;0.4;3.5;2.8;12.2
1033;5.6;3.4;2.1;-5.3
1034;0.8;2.1;2.0;-15.8
1035;4.7;2.6;2.6;-9.5
1036;1.5;2.4;2.4;-5.6
1037;0.6;2.7;1.3;-18.0
1038;1.3;2.8;2.0;-4.8
1039;1.2;3.4;0.2;8.1
1040;5.2;2.7;2.1;-11.1
1041;-2.4;2.2;-1.4;4.3
1042;-1.7;2.7;3.2;-7.3
1043;0.4;3.0;1.4;5.1
1044;-1.0;2.8;-1.1;-1.0
1045;2.7;3.3;-1.2;1.9
1046;-0.2;2.6;1.8;-4.5
1047;2.7;2.4;2.4;-7.0
1048;0.9;2.0;1.9;-15.6
1049;-0.9;2.5;2.0;5.7
1050;-5.8;1.8;1.3;-11.4
1051;0.6;2.0;2.2;-6.0
1052;-3.6;2.7;0.4;9.3
1053;1.4;2.6;1.8;-0.5
1054;-1.5;2.3;1.9;-7.1
1055;-3.9;2.2;2.2;-5.3
1056;-0.2;2.5;-0.7;0.5
1057;1.4;2.9;3.0;2.0
1058;4.0;2.7;2.3;-1.5
1059;-0.5;2.2;1.9;-1.8
1060;-0.9;2.2;-0.2;-6.5
1061;-2.0;2.8;1.9;1.1
1062;0.7;2.9;1.4;-0.6
1063;1.2;2.6;4.0;-7.5
1064;-1.8;2.5;-0.1;7.2
1065;-0.8;2.7;3.1;2.4
1066;3.1;3.1;1.7;4.0
1067;0.8;2.0;2.1;-14.1
1068;0.7;2.5;2.9;1.3
1069;-1.6;2.2;2.6;-2.0
1070;-0.6;2.9;2.4;-5.4
1071;0.7;2.8;2.1;0.2
1072;2.1;3.4;1.7;18.3
1073;-2.3;2.2;-0.2;7.7
1074;0.7;2.1;1.7;-16.4
1075;0.1;2.6;1.1;-3.5
1076;3.4;2.6;3.3;0.9
1077;1.9;2.5;2.5;-9.9
1078;0.3;3.6;-0.2;14.7
1079;-0.4;1.7;1.9;-6.3
1080;-2.1;1.9;0.5;-9.9
1081;-3.6;2.7;-1.9;3.4
1082;-2.2;2.8;0.3;-2.8
1083;0.7;1.7;-0.2;-15.1
1084;2.8;3.1;1.0;12.3
1085;-0.5;2.7;1.7;-12.4
1086;2.7;3.6;-0.2;10.5
1087;-0.4;2.3;1.1;-11.4
1088;-3.1;2.1;2.1;-14.3
1089;0.9;1.9;2.4;-9.4
1090;-0.3;2.6;0.3;-8.1
1091;-1.6;1.3;2.3;-36.5
1092;-2.4;2.5;1.8;0.9
1093;0.8;1.8;2.0;-26.3
1094;1.7;3.5;1.5;-3.8
1095;1.4;1.7;2.9;-27.3
1096;0.4;2.9;0.3;10.2
1097;-0.3;2.8;0.4;-4.7
1098;2.5;2.7;3.0;-1.2
1099;1.1;2.7;1.8;-15.2
1100;3.0;2.8;1.9;-5.3
1101;-0.7;2.8;1.3;10.4
1102;0.2;2.4;-1.0;4.4
1103;0.8;2.5;1.3;-11.8
1104;-0.2;2.5;1.6;-2.1
1105;-2.0;2.2;0.8;3.4
1106;0.7;2.9;0.0;-1.9
1107;0.2;1.9;1.9;-20.1
1108;3.9;3.2;0.4;-2.7
1109;-0.1;1.8;1.1;-17.9
1110;-2.1;2.7;1.5;7.2
1111;-3.2;2.4;0.4;-13.3
1112;1.9;2.0;2.1;-12.6
1113;-1.1;2.2;0.7;-17.8
1114;0.2;2.5;0.2;6.8
1115;-3.3;1.6;1.0;-13.4
1116;3.2;3.7;-2.3;32.4
1117;-3.9;2.2;0.5;-10.2
1118;-1.5;2.3;0.8;-5.7
1119;1.9;2.8;2.3;-10.1
1120;-1.6;2.3;1.5;-16.2
1121;1.3;2.4;0.8;-5.5
1122;0.0;2.8;0.0;-2.1
1123;0.8;3.0;1.9;6.5
1124;-3.5;2.9;0.8;2.9
1125;3.4;2.9;2.9;-5.0
1126;-2.8;2.8;-0.2;4.6
1127;3.0;2.7;2.8;-6.0
1128;3.5;2.5;1.2;-1.1
1129;-1.6;2.4;0.2;0.4
1130;1.9;3.1;-0.5;0.2
1131;4.5;3.0;-0.4;-3.3
1132;1.1;2.8;1.2;3.4
1133;-0.8;2.7;1.6;-11.6
1134;-0.7;2.7;0.2;4.6
1135;0.6;3.2;-0.2;0.7
1136;-2.0;2.5;0.1;-0.9
1137;-2.8;1.6;1.6;-9.6
1138;-0.6;2.0;2.8;-3.6
1139;1.8;3.2;0.5;6.7
1140;-3.7;2.3;-0.4;-11.9
1141;-2.9;1.6;1.9;-17.6
1142;0.8;2.2;3.6;-17.8
1143;0.4;2.5;1.1;-0.2
1144;4.7;3.5;1.5;4.4
1145;-2.0;3.0;-1.8;14.4
1146;2.8;3.3;0.8;14.1
1147;1.7;3.0;1.6;-5.4
1148;-0.3;2.3;3.7;-17.9
1149;-2.7;2.6;0.6;3.5
1150;1.0;3.1;1.2;6.3
1151;-3.3;2.5;1.4;-1.9
1152;-0.7;2.3;1.0;-16.7
1153;0.3;2.1;2.1;-13.0
1154;-5.5;1.8;0.3;-15.3
1155;-0.5;2.7;0.8;-0.9
1156;0.8;2.8;1.1;-0.9
1157;-3.4;1.8;0.7;-17.0
1158;1.2;2.8;1.7;7.0
1159;-1.3;2.4;1.2;-9.1
1160;-0.3;2.5;1.1;-13.3
1161;-1.8;2.7;0.7;11.0
1162;1.0;2.5;1.8;-18.0
1163;0.5;2.5;0.2;-9.0
1164;1.2;2.7;1.9;4.3
1165;-1.8;2.4;0.3;-22.6
1166;0.7;1.9;-0.5;-22.5
1167;0.0;2.8;1.0;9.3
1168;3.1;3.0;0.8;-9.2
1169;-2.3;2.1;0.8;-5.9
1170;-0.8;3.1;0.1;-2.1
1171;-0.5;1.8;1.3;-20.6
1172;-1.4;3.0;0.5;2.9
1173;1.2;2.6;2.8;4.2
1174;-3.4;2.3;0.6;-5.4
1175;-0.9;2.5;0.8;2.1
1176;-0.5;2.8;2.0;1.6
1177;1.0;2.1;0.3;-11.6
1178;6.6;2.9;1.7;-1.2
1179;-2.0;1.6;1.4;-12.5
1180;3.0;3.1;-0.7;5.2
1181;2.3;3.4;1.0;5.2
1182;1.7;3.4;1.8;4.0
1183;2.5;2.9;0.2;9.3
1184;4.1;2.1;2.3;-19.5
1185;-2.5;2.2;0.2;-9.8
1186;0.5;3.0;1.1;4.9
1187;3.2;2.5;4.0;-12.9
1188;2.4;2.7;1.3;-8.2
1189;-3.2;2.5;0.3;-2.9
1190;0.1;2.7;-0.3;3.7
1191;2.8;2.4;2.3;-13.6
1192;1.3;2.6;2.1;2.2
1193;-2.1;2.2;2.5;-3.8
1194;1.9;2.4;-0.4;-14.3
1195;-5.7;2.7;0.0;16.0
1196;-0.4;2.3;3.7;-7.2
1197;-1.6;2.0;1.0;-13.6
1198;3.0;2.6;1.5;-8.9
1199;3.5;2.6;2.4;-11.2
1200;4.1;1.9;2.8;-29.0
1201;0.2;3.2;-0.4;9.3
1202;-1.7;2.7;1.0;-1.5
1203;-1.6;2.5;3.3;-2.8
1204;6.1;3.5;1.9;10.2
1205;0.2;2.6;-1.0;0.4
1206;1.4;2.3;1.3;-8.3
1207;1.5;3.2;1.7;7.2
1208;0.0;2.5;-1.4;-1.5
1209;0.8;2.6;3.0;-1.4
1210;-5.2;1.9;0.5;-12.4
1211;2.4;2.8;2.5;-0.9
1212;-5.0;2.6;0.0;1.3
1213;0.8;2.3;1.2;-12.5
1214;0.3;3.0;2.0;10.5
1215;-3.6;2.3;1.5;-10.5
1216;4.6;3.4;0.9;-7.8
1217;-1.5;3.0;0.9;-6.4
1218;-1.9;2.6;3.2;0.3
1219;0.0;2.6;1.6;-6.3
1220;-1.4;3.0;1.7;6.1
1221;4.6;2.5;2.3;-9.9
1222;-1.3;2.6;1.3;-5.8
1223;3.2;2.9;0.9;3.5
1224;-2.3;2.1;-0.1;-5.2
1225;-0.6;1.9;0.8;-13.7
1226;-2.3;3.3;0.4;9.7
1227;2.7;2.4;-0.9;-10.5
1228;-3.1;2.5;0.2;4.1
1229;-4.6;2.2;0.2;1.0
1230;-0.8;2.8;0.7;-1.0
1231;-0.2;3.4;-1.3;4.3
1232;1.5;2.9;2.7;2.8
1233;3.3;3.2;1.0;10.7
1234;2.5;2.8;4.1;-6.4
1235;-1.7;2.8;1.1;2.4
1236;-1.4;2.5;0.7;2.8
1237;1.2;2.5;-1.0;-5.2
1238;3.3;2.6;0.6;-17.1
1239;-1.1;2.8;1.0;5.7
1240;-7.6;1.9;-1.2;-13.5
1241;-2.5;2.8;1.3;5.5
1242;-1.4;2.6;0.5;-9.5
1243;3.1;3.1;0.1;4.3
1244;1.0;2.7;2.9;0.9
1245;-4.2;3.3;-0.3;13.6
1246;-2.2;2.6;-1.0;8.3
1247;1.4;2.9;1.1;-5.1
1248;1.0;2.9;2.2;-1.9
1249;-1.6;2.6;0.2;0.2
1250;-2.6;2.3;1.3;-1.3
1251;-1.2;1.8;3.5;-9.1
1252;0.8;3.3;0.8;6.2
1253;0.4;2.6;2.2;4.9
1254;3.1;2.7;2.6;2.6
1255;-3.8;2.4;-0.8;8.0
1256;-3.6;2.1;0.3;-0.2
1257;-1.7;2.9;0.9;2.5
1258;-0.3;1.6;4.5;-12.1
1259;2.4;2.8;0.4;1.6
1260;2.4;2.5;0.7;-1.0
1261;2.1;2.9;1.6;-2.6
1262;-1.6;1.9;1.2;-11.5
1263;3.8;2.4;1.0;-18.1
1264;-1.6;3.0;2.2;16.2
1265;0.5;2.3;0.4;-9.1
1266;-1.9;2.5;1.3;3.0
1267;-1.7;2.6;2.1;2.4
1268;-3.1;2.7;1.2;2.6
1269;-1.7;2.9;0.0;-1.9
1270;-1.5;2.0;0.8;-17.0
1271;-2.3;2.2;2.0;-5.3
1272;-2.1;2.7;2.2;9.5
1273;0.4;3.6;1.7;5.6
1274;-2.6;2.0;1.3;-16.6
1275;1.3;2.7;3.4;-10.4
1276;4.6;3.1;2.5;5.6
1277;-1.5;2.5;0.6;1.8
1278;-3.1;2.4;2.0;8.3
1279;2.3;2.5;2.5;-13.1
1280;-0.8;1.5;2.2;-22.5
1281;1.1;2.8;1.0;12.0
1282;-0.9;2.9;-0.2;-9.0
1283;1.0;2.7;0.9;0.3
1284;-2.7;2.5;1.5;2.1
1285;-2.7;2.1;1.2;-6.5
1286;1.7;2.5;1.7;-16.0
1287;1.3;2.7;1.7;0.0
1288;2.4;3.3;0.8;4.9
1289;-1.6;3.0;0.5;1.0
1290;-0.8;2.0;-0.6;-10.9
1291;-3.0;1.4;2.0;-9.4
1292;-2.7;2.9;1.1;-1.6
1293;-2.0;1.9;1.0;-20.8
1294;4.8;3.1;2.3;5.3
1295;0.3;2.6;0.1;4.2
1296;-0.6;2.7;0.9;-8.7
1297;1.8;2.4;1.1;-6.4
1298;-1.3;2.8;0.7;-1.5
1299;0.1;2.7;-0.3;6.7
1300;1.7;2.9;1.6;-10.1
1301;3.3;2.9;1.0;-3.9
1302;0.7;3.1;2.4;14.2
1303;2.3;1.7;2.9;-26.3
1304;-3.5;1.9;0.6;-6.5
1305;-1.7;2.6;0.4;2.4
1306;-4.9;3.1;1.5;34.3
1307;-1.0;3.2;0.6;5.2
1308;3.4;2.9;-0.5;-4.6
1309;-3.1;2.6;2.4;-2.1
1310;-5.4;2.0;0.6;-3.9
1311;2.9;2.5;1.1;2.3
1312;2.4;2.3;2.1;-14.9
1313;2.6;3.3;3.6;12.2
1314;3.1;2.9;2.7;-2.6
1315;1.9;2.5;1.2;-17.1
1316;-0.8;2.9;1.2;0.3
1317;-0.4;1.9;0.8;-1.5
1318;3.7;3.0;1.0;-4.8
1319;6.1;3.2;0.9;7.6
1320;2.0;2.4;0.6;-4.8
1321;1.2;2.4;0.6;-4.1
1322;-1.4;2.3;2.2;-14.2
1323;1.5;2.7;2.3;-5.5
1324;1.3;2.3;1.7;-3.3
1325;-1.0;3.0;1.9;2.9
1326;-0.6;2.9;0.8;-1.3
1327;-0.9;2.5;2.7;-1.9
1328;-4.1;1.4;2.0;-19.1
1329;3.5;3.1;1.9;1.2
1330;1.9;3.0;1.4;-3.2
1331;-0.2;3.3;2.5;6.2
1332;-0.9;2.1;1.5;-6.6
1333;-3.1;2.6;0.2;-1.0
1334;-0.9;1.8;1.0;-9.1
1335;-0.5;2.1;1.2;-22.7
1336;3.1;3.1;2.0;-8.3
1337;5.0;2.9;2.3;-6.1
1338;0.0;3.2;0.9;3.8
1339;1.0;2.5;1.4;-7.8
1340;-0.3;3.4;0.1;2.6
1341;-0.6;3.0;-0.1;7.5
1342;0.1;3.0;-1.0;7.7
1343;1.3;3.0;1.0;-6.3
1344;1.3;3.1;0.3;7.5
1345;-5.1;1.8;-2.9;-3.4
1346;-1.0;1.9;0.6;-12.7
1347;1.6;3.1;-0.7;7.0
1348;1.9;2.4;2.2;-16.7
1349;1.2;2.4;0.2;-3.8
1350;-1.1;1.8;1.1;-3.3
1351;0.9;3.5;0.8;12.5
1352;0.8;2.7;2.7;-8.4
1353;-2.7;2.5;1.5;-7.9
1354;0.4;2.3;0.7;-13.2
1355;-4.7;2.9;-0.3;8.7
1356;-0.6;2.7;0.7;-6.7
1357;1.1;2.9;0.3;10.4
1358;-4.6;1.5;0.7;-4.1
1359;-3.1;2.6;1.7;14.4
1360;2.2;3.3;0.3;9.6
1361;0.2;2.2;2.2;-3.0
1362;1.0;2.9;2.3;-2.1
1363;-4.3;2.8;0.5;8.8
1364;4.5;3.0;2.5;-4.8
1365;-2.6;2.3;0.3;-6.4
1366;2.9;3.2;1.3;4.4
1367;3.4;2.6;0.8;-6.3
1368;-0.3;1.6;1.9;-17.0
1369;-3.6;1.8;0.0;0.6
1370;1.9;2.7;1.5;-8.0
1371;4.1;2.7;2.4;-1.2
1372;0.7;2.8;-0.2;5.2
1373;3.0;2.4;2.0;-8.0
1374;2.2;2.9;1.9;5.2
1375;-3.0;2.2;-0.4;0.6
1376;1.3;2.8;1.5;-6.3
1377;0.7;2.1;2.8;-13.8
1378;1.4;2.6;2.1;-5.2
1379;2.8;2.2;4.0;-21.8
1380;-2.3;2.1;1.3;-3.8
1381;1.2;2.3;1.6;-10.8
1382;2.2;2.7;1.8;-20.3
1383;-3.5;2.3;0.9;-5.1
1384;-2.9;3.4;-1.3;4.7
1385;-1.0;2.6;-0.1;-5.8
1386;-0.3;2.8;0.4;8.7
1387;0.2;3.3;1.1;11.1
1388;-0.4;3.4;3.7;12.0
1389;-1.5;2.3;0.9;-0.3
1390;-0.9;2.5;0.9;0.2
1391;-4.3;1.6;1.3;-27.2
1392;-2.3;1.4;2.4;-13.6
1393;-3.4;2.6;-0.4;8.4
1394;5.3;4.0;1.5;-0.2
1395;2.2;2.9;1.7;10.0
1396;3.2;3.2;1.0;7.8
1397;4.3;3.8;1.0;19.4
1398;-2.6;2.6;1.4;3.8
1399;1.3;3.8;-0.6;20.8
1400;-2.6;2.5;0.6;4.3
1401;1.0;2.7;0.5;5.2
1402;4.7;2.7;1.5;3.6
1403;1.1;2.7;0.6;1.6
1404;1.4;2.7;0.9;-3.0
1405;2.9;2.7;2.1;-2.7
1406;-1.7;2.5;-1.4;1.9
1407;-0.3;2.7;0.8;-6.7
1408;-0.3;2.2;2.2;-17.3
1409;0.8;2.2;-0.7;-13.0
1410;-2.7;2.5;-0.4;-9.5
1411;-2.8;2.4;1.0;-4.2
1412;-2.2;2.3;0.0;3.2
1413;0.7;3.1;1.7;6.3
1414;-2.1;2.9;1.9;12.2
1415;-2.7;2.1;-0.1;5.8
1416;1.3;2.9;2.8;-10.2
1417;0.1;1.8;1.6;-15.2
1418;2.0;2.7;1.7;-8.3
1419;5.7;3.1;2.6;2.5
1420;-2.2;2.0;-0.3;-4.3
1421;2.2;3.9;-1.4;9.8
1422;-3.4;2.8;1.5;2.3
1423;1.6;3.0;2.1;7.6
1424;0.9;2.3;2.0;-9.6
1425;0.2;1.7;2.9;-14.5
1426;-1.7;2.1;1.2;-4.2
1427;0.4;3.0;1.2;8.5
1428;-0.3;1.9;1.2;-10.4
1429;-1.8;2.1;0.1;-11.1
